Cameron Payne (32631144),Brandon Ingram (32630871),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Trae Young (32630832),Kelly Oubre Jr. (32630934),Buddy Hield (32637556),294.5653139186321,49900
Cameron Payne (32631144),Jalen Green (32630892),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),CJ McCollum (32630924),Eugene Omoruyi (32631147),Kelly Oubre Jr. (32630934),294.29780254657857,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Kelly Oubre Jr. (32630934),Anthony Davis (32630818),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),293.2299072977951,50000
Cameron Payne (32631144),Jalen Green (32630892),Tobias Harris (32630867),Kelly Oubre Jr. (32630934),Jakob Poeltl (32630942),Trae Young (32630832),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),292.9480585120802,50000
Cameron Payne (32631144),Amen Thompson (32631013),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Brandon Ingram (32630871),Kelly Oubre Jr. (32630934),Tobias Harris (32630867),292.9264718847805,49900
Cameron Payne (32631144),Amen Thompson (32631013),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Trae Young (32630832),Jalen Johnson (32630884),Zion Williamson (32630899),292.538067077506,49900
Trae Young (32630832),Buddy Hield (32637556),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),Cameron Payne (32631144),Eugene Omoruyi (32631147),CJ McCollum (32630924),292.47488836225057,49900
CJ McCollum (32630924),Buddy Hield (32637556),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Alperen Sengun (32630838),Cameron Payne (32631144),Scottie Barnes (32630847),Eugene Omoruyi (32631147),292.2261985860241,50000
Cameron Payne (32631144),Brandon Ingram (32630871),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Amen Thompson (32631013),Jalen Johnson (32630884),Eugene Omoruyi (32631147),292.15289037098364,50000
Cameron Payne (32631144),Amen Thompson (32631013),Tobias Harris (32630867),Jabari Smith Jr. (32631002),JT Thor (32631424),CJ McCollum (32630924),Kelly Oubre Jr. (32630934),Nikola Jokic (32630812),291.97338895991555,50000
Trae Young (32630832),Buddy Hield (32637556),Tobias Harris (32630867),Kelly Oubre Jr. (32630934),Eugene Omoruyi (32631147),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Malik Monk (32630990),291.92193487663195,50000
Cameron Payne (32631144),RJ Barrett (32630902),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Scottie Barnes (32630847),Kelly Oubre Jr. (32630934),Zion Williamson (32630899),291.84793589288415,49900
Cameron Payne (32631144),Brandon Ingram (32630871),Tobias Harris (32630867),Jalen Johnson (32630884),JT Thor (32631424),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),291.8004465567827,50000
Cameron Payne (32631144),Jalen Green (32630892),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Buddy Hield (32637556),Zion Williamson (32630899),Tobias Harris (32630867),291.7264677302602,49900
Trae Young (32630832),Buddy Hield (32637556),Brandon Ingram (32630871),Jabari Smith Jr. (32631002),Trey Lyles (32631161),Cameron Payne (32631144),Jalen Johnson (32630884),Tobias Harris (32630867),291.7240867538329,50000
Trae Young (32630832),Bogdan Bogdanovic (32630971),Brandon Ingram (32630871),Jalen Johnson (32630884),KJ Martin (32631107),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),291.5848817164934,50000
Trae Young (32630832),Bogdan Bogdanovic (32630971),Brandon Ingram (32630871),Tobias Harris (32630867),Jonas Valanciunas (32630937),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),291.52224100112625,50000
Trae Young (32630832),Bogdan Bogdanovic (32630971),Jaylen Brown (32630855),Kelly Oubre Jr. (32630934),Eugene Omoruyi (32631147),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Zion Williamson (32630899),291.50424570155576,50000
Trae Young (32630832),Dillon Brooks (32631040),Tobias Harris (32630867),Jalen Johnson (32630884),Eugene Omoruyi (32631147),CJ McCollum (32630924),Kelly Oubre Jr. (32630934),Cameron Payne (32631144),291.4089049777331,50000
Cameron Payne (32631144),Brandon Ingram (32630871),Tobias Harris (32630867),Eugene Omoruyi (32631147),Anthony Davis (32630818),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),291.1416038030487,49900
Cameron Payne (32631144),Brandon Miller (32630887),RJ Barrett (32630902),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Trae Young (32630832),Kelly Oubre Jr. (32630934),CJ McCollum (32630924),291.1137897392179,50000
Jamal Murray (32630852),Buddy Hield (32637556),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Cameron Payne (32631144),Jalen Johnson (32630884),Kelly Oubre Jr. (32630934),291.09145053380763,49900
Cameron Payne (32631144),Buddy Hield (32637556),Jordan Nwora (32631175),Kelly Oubre Jr. (32630934),Giannis Antetokounmpo (32630808),CJ McCollum (32630924),Jalen Johnson (32630884),Jabari Smith Jr. (32631002),291.073708543487,50000
Trae Young (32630832),Buddy Hield (32637556),Tobias Harris (32630867),Zion Williamson (32630899),JT Thor (32631424),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Scottie Barnes (32630847),291.0408961774489,49900
Cameron Payne (32631144),Malik Monk (32630990),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),CJ McCollum (32630924),Jayson Tatum (32630825),Kelly Oubre Jr. (32630934),290.8835869874092,49900
CJ McCollum (32630924),Buddy Hield (32637556),Jordan Nwora (32631175),Tobias Harris (32630867),Nikola Jokic (32630812),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),290.87487596888286,50000
Trae Young (32630832),Amen Thompson (32631013),Scottie Barnes (32630847),Eugene Omoruyi (32631147),Jakob Poeltl (32630942),CJ McCollum (32630924),Kelly Oubre Jr. (32630934),Cameron Payne (32631144),290.8052652523896,50000
Trae Young (32630832),Bogdan Bogdanovic (32630971),Jordan Nwora (32631175),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Cameron Payne (32631144),Eugene Omoruyi (32631147),CJ McCollum (32630924),290.7747880735146,50000
Jrue Holiday (32630931),Brandon Ingram (32630871),Tobias Harris (32630867),Jalen Johnson (32630884),Eugene Omoruyi (32631147),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),290.7607567652891,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Scottie Barnes (32630847),Kelly Oubre Jr. (32630934),Paul Reed (32630979),CJ McCollum (32630924),Jalen Johnson (32630884),Jabari Smith Jr. (32631002),290.7172147802046,49900
De'Aaron Fox (32630860),Jalen Green (32630892),Brandon Ingram (32630871),Jalen Johnson (32630884),Eugene Omoruyi (32631147),Cameron Payne (32631144),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),290.683680075046,50000
Trae Young (32630832),Amen Thompson (32631013),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),KJ Martin (32631107),Cameron Payne (32631144),Zion Williamson (32630899),Kelly Oubre Jr. (32630934),290.57038347138615,49900
Cameron Payne (32631144),Jalen Green (32630892),Buddy Hield (32637556),Jalen Johnson (32630884),Jakob Poeltl (32630942),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),290.5614720147877,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Dillon Brooks (32631040),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Buddy Hield (32637556),Zion Williamson (32630899),Kelly Oubre Jr. (32630934),290.53639202360705,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Jayson Tatum (32630825),Jalen Johnson (32630884),Eugene Omoruyi (32631147),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Jalen Green (32630892),290.47659427236493,50000
Trae Young (32630832),Kentavious Caldwell-Pope (32631084),Tobias Harris (32630867),Kelly Oubre Jr. (32630934),Onyeka Okongwu (32630944),Cameron Payne (32631144),Jabari Smith Jr. (32631002),CJ McCollum (32630924),290.4664675553347,50000
CJ McCollum (32630924),Amen Thompson (32631013),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Jonas Valanciunas (32630937),Cameron Payne (32631144),Buddy Hield (32637556),Tobias Harris (32630867),290.42155557281706,50000
Trae Young (32630832),Buddy Hield (32637556),Jayson Tatum (32630825),Zion Williamson (32630899),Eugene Omoruyi (32631147),Terquavion Smith (32631207),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),290.3890825285977,50000
Cameron Payne (32631144),Brandon Miller (32630887),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),CJ McCollum (32630924),Eugene Omoruyi (32631147),Terquavion Smith (32631207),290.374362175749,49900
Trae Young (32630832),Jalen Green (32630892),Buddy Hield (32637556),Tobias Harris (32630867),Eugene Omoruyi (32631147),Cameron Payne (32631144),Brandon Ingram (32630871),Amen Thompson (32631013),290.3499421588958,50000
Cameron Payne (32631144),Amen Thompson (32631013),Brandon Ingram (32630871),Kelly Oubre Jr. (32630934),Paul Reed (32630979),Trae Young (32630832),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),290.2682533341381,49900
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Jonas Valanciunas (32630937),Jalen Green (32630892),Zion Williamson (32630899),Kelly Oubre Jr. (32630934),290.2491794607357,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Brandon Ingram (32630871),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Terquavion Smith (32631207),Eugene Omoruyi (32631147),Scottie Barnes (32630847),290.1803074312109,50000
Trae Young (32630832),Bogdan Bogdanovic (32630971),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),Cameron Payne (32631144),Zion Williamson (32630899),Jalen Green (32630892),290.170572768096,50000
CJ McCollum (32630924),Bogdan Bogdanovic (32630971),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Cameron Payne (32631144),Jalen Johnson (32630884),KJ Martin (32631107),290.11848207094636,49900
Trae Young (32630832),Bogdan Bogdanovic (32630971),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Brook Lopez (32630961),Cameron Payne (32631144),Tobias Harris (32630867),CJ McCollum (32630924),290.11782818376275,49900
Trae Young (32630832),Amen Thompson (32631013),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Kristaps Porzingis (32630863),Cameron Payne (32631144),Kelly Oubre Jr. (32630934),CJ McCollum (32630924),290.0667358096048,49800
Amen Thompson (32631013),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Eugene Omoruyi (32631147),Nikola Jokic (32630812),CJ McCollum (32630924),Buddy Hield (32637556),Cameron Payne (32631144),290.04539699514584,49900
Scottie Barnes (32630847),Jalen Green (32630892),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),CJ McCollum (32630924),Kelly Oubre Jr. (32630934),KJ Martin (32631107),290.039555138307,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Jalen Johnson (32630884),KJ Martin (32631107),Scottie Barnes (32630847),Zion Williamson (32630899),Jabari Smith Jr. (32631002),289.90708914453614,50000
Cameron Payne (32631144),Jalen Green (32630892),Tobias Harris (32630867),Jalen Johnson (32630884),Jakob Poeltl (32630942),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Amen Thompson (32631013),289.8870498811283,49900
Jamal Murray (32630852),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Jabari Smith Jr. (32631002),JT Thor (32631424),Trae Young (32630832),Kelly Oubre Jr. (32630934),Cameron Payne (32631144),289.8806950689755,50000
Cameron Payne (32631144),Brandon Ingram (32630871),Scottie Barnes (32630847),Jalen Johnson (32630884),Eugene Omoruyi (32631147),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Buddy Hield (32637556),289.87245459201296,49900
CJ McCollum (32630924),Bogdan Bogdanovic (32630971),Buddy Hield (32637556),Eugene Omoruyi (32631147),Alperen Sengun (32630838),Trae Young (32630832),Kelly Oubre Jr. (32630934),Cameron Payne (32631144),289.83627648548907,49900
Jamal Murray (32630852),Brandon Ingram (32630871),Tobias Harris (32630867),Eugene Omoruyi (32631147),Paul Reed (32630979),Jalen Green (32630892),Jabari Smith Jr. (32631002),Cameron Payne (32631144),289.83179330056834,50000
CJ McCollum (32630924),Amen Thompson (32631013),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),Jamal Murray (32630852),Kelly Oubre Jr. (32630934),Eugene Omoruyi (32631147),289.8128981160815,50000
Trae Young (32630832),RJ Barrett (32630902),Buddy Hield (32637556),Jalen Johnson (32630884),Eugene Omoruyi (32631147),Cameron Payne (32631144),Zion Williamson (32630899),Kelly Oubre Jr. (32630934),289.7973909444027,49900
Terquavion Smith (32631207),Brandon Ingram (32630871),Jayson Tatum (32630825),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),Cameron Payne (32631144),Jalen Johnson (32630884),Kelly Oubre Jr. (32630934),289.7756884932456,49900
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Miles Bridges (32630843),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Jamal Murray (32630852),Kelly Oubre Jr. (32630934),Brandon Ingram (32630871),289.7679343482409,50000
Jrue Holiday (32630931),Dillon Brooks (32631040),Brandon Ingram (32630871),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Cameron Payne (32631144),Kelly Oubre Jr. (32630934),Eugene Omoruyi (32631147),289.7570651849086,50000
Cameron Payne (32631144),Amen Thompson (32631013),Buddy Hield (32637556),Jabari Smith Jr. (32631002),Giannis Antetokounmpo (32630808),CJ McCollum (32630924),Eugene Omoruyi (32631147),De'Aaron Fox (32630860),289.7372477017887,50000
Cameron Payne (32631144),Brandon Ingram (32630871),Tobias Harris (32630867),Kelly Oubre Jr. (32630934),Nikola Jokic (32630812),Bogdan Bogdanovic (32630971),JT Thor (32631424),Eugene Omoruyi (32631147),289.7341416750605,50000
Amen Thompson (32631013),Buddy Hield (32637556),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Nikola Jokic (32630812),Cameron Payne (32631144),Zion Williamson (32630899),Terquavion Smith (32631207),289.68707681806046,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Scottie Barnes (32630847),Eugene Omoruyi (32631147),KJ Martin (32631107),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Giannis Antetokounmpo (32630808),289.67672793609285,50000
Cameron Payne (32631144),RJ Barrett (32630902),Brandon Ingram (32630871),Kelly Oubre Jr. (32630934),Nikola Jokic (32630812),Buddy Hield (32637556),JT Thor (32631424),Jabari Smith Jr. (32631002),289.6161340171359,50000
Trae Young (32630832),Amen Thompson (32631013),Tobias Harris (32630867),Aaron Gordon (32630976),Paul Reed (32630979),Cameron Payne (32631144),Jabari Smith Jr. (32631002),CJ McCollum (32630924),289.614941484117,50000
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Paul Reed (32630979),Brandon Ingram (32630871),Jalen Johnson (32630884),Jakob Poeltl (32630942),289.6049590072881,50000
Cameron Payne (32631144),Jaylen Brown (32630855),Buddy Hield (32637556),Jalen Johnson (32630884),Eugene Omoruyi (32631147),CJ McCollum (32630924),Kelly Oubre Jr. (32630934),Scottie Barnes (32630847),289.51963213527546,49900
Jamal Murray (32630852),Buddy Hield (32637556),Tobias Harris (32630867),Jabari Smith Jr. (32631002),Eugene Omoruyi (32631147),Bogdan Bogdanovic (32630971),Zion Williamson (32630899),Kelly Oubre Jr. (32630934),289.5052321098318,49800
Cameron Payne (32631144),Bogdan Bogdanovic (32630971),Tobias Harris (32630867),Eugene Omoruyi (32631147),Giannis Antetokounmpo (32630808),Jrue Holiday (32630931),Jabari Smith Jr. (32631002),Buddy Hield (32637556),289.50409451841205,50000
Cameron Payne (32631144),Trey Murphy III (32631062),Tobias Harris (32630867),Eugene Omoruyi (32631147),Giannis Antetokounmpo (32630808),CJ McCollum (32630924),Jabari Smith Jr. (32631002),Jakob Poeltl (32630942),289.5034314999426,50000
Cameron Payne (32631144),Buddy Hield (32637556),Brandon Ingram (32630871),Giannis Antetokounmpo (32630808),Eugene Omoruyi (32631147),Jamal Murray (32630852),Jabari Smith Jr. (32631002),KJ Martin (32631107),289.49838084838063,50000
Cameron Payne (32631144),Brandon Ingram (32630871),Tobias Harris (32630867),Onyeka Okongwu (32630944),Jakob Poeltl (32630942),Jrue Holiday (32630931),Jabari Smith Jr. (32631002),Kelly Oubre Jr. (32630934),289.4824409361727,50000
CJ McCollum (32630924),Buddy Hield (32637556),Scottie Barnes (32630847),Jabari Smith Jr. (32631002),Paul Reed (32630979),Jamal Murray (32630852),Kelly Oubre Jr. (32630934),Eugene Omoruyi (32631147),289.4812085333607,50000
